Player,BODY FAT,HEIGHT_NO_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,Year
Allen Crabbe,4.65%,77.25,8' 7.5'',197.4,83.25,2013
Seth Curry,9.60%,73.0,8' 1.5'',179.2,76.0,2013
Brandon Davies,8.60%,80.5,9' 0.5'',241.8,85.5,2013
Dewayne Dedmon,8.35%,82.0,9' 1'',238.8,88.0,2013
Gorgui Dieng,5.35%,81.75,9' 3.5'',229.6,87.5,2013
James Ennis,4.50%,77.75,8' 8.5'',200.8,83.5,2013
Carrick Felix,3.30%,76.75,8' 7.5'',202.6,81.25,2013
Jamaal Franklin,8.25%,76.0,8' 7.5'',190.8,83.25,2013
Rudy Gobert,4.40%,84.5,9' 7'',237.6,92.5,2013
Archie Goodwin,4.55%,75.75,8' 6'',189.0,81.5,2013
Erick Green,4.35%,73.5,8' 2'',178.2,77.75,2013
Tim Hardaway,SG,117.0,6.25'' 8',5'',2398.8,2013
Solomon Hill,7.60%,77.5,8' 7'',226.0,81.0,2013
Richard Howell,8.75%,78.25,8' 9.5'',249.6,82.25,2013
Colton Iverson,9.60%,82.5,9' 2'',262.8,86.0,2013
Pierre Jackson,4.50%,69.5,7' 6'',176.0,70.0,2013
Grant Jerrett,10.05%,80.75,9' 1'',232.0,86.0,2013
Myck Kabongo,6.00%,73.25,8' 2'',180.4,78.25,2013
Kenny Kadji,7.45%,80.75,8' 10.5'',241.6,87.0,2013
Ryan Kelly,14.75%,81.75,9' 2'',228.0,83.5,2013
Shane Larkin,3.80%,70.25,7' 5.5'',170.8,70.75,2013
Ricky Ledo,10.25%,76.75,8' 6.5'',197.2,79.25,2013
CJ Leslie,7.95%,79.5,8' 8.5'',209.2,86.25,2013
Trevor Mbakwe,5.90%,78.75,8' 10.5'',235.8,88.0,2013
Ray McCallum,7.30%,72.25,8' 0.5'',191.4,75.25,2013
CJ McCollum,8.60%,74.25,8' 0.5'',197.0,78.25,2013
Ben McLemore,5.00%,75.5,8' 4.5'',189.2,79.75,2013
